Country,Legal
Algeria,Illegal
Egypt,Illegal
Morocco,Illegal
Nigeria,Legal
South Africa,Legal
Namibia,Legal
Zimbabwe,Legal
Canada,Legal
United States,Legal
Mexico,Legal
Nicaragua,Legal
Costa Rica,Legal
Jamaica,Legal
Trinidad and Tobago,Legal
Argentina,Legal
Bolivia,Illegal
Brazil,Legal
Chile,Legal
Colombia,Illegal
Ecuador,Illegal
Venezuela,Legal
Kyrgyzstan,Legal
Uzbekistan,Legal
Cyprus,Legal
Russia,Legal
United Arab Emirates,Illegal
Israel,Legal
Saudi Arabia,Illegal
Jordan,Legal
Lebanon,Legal
Turkey,Legal
Iran,Illegal
Bangladesh,Illegal
India,Legal
Nepal,Illegal
Pakistan,Illegal
China,Illegal
Hong Kong,Legal
Japan,Legal
South Korea,Legal
Taiwan,Illegal
Cambodia,Illegal
Indonesia,Illegal
Malaysia,Legal
Philippines,Legal
Singapore,Legal
Thailand,Legal
Vietnam,Legal
Austria,Legal
Croatia,Legal
Czech Republic,Legal
Germany,Legal
Hungary,Legal
Poland,Legal
Romania,Legal
Slovakia,Legal
Slovenia,Legal
Switzerland,Legal
Belarus,Legal
Ukraine,Legal
Denmark,Legal
Estonia,Legal
Finland,Legal
Iceland,Legal
Lithuania,Legal
Norway,Legal
Sweden,Legal
Bosnia and Herzegovina,Legal
Bulgaria,Legal
Greece,Legal
Italy,Legal
Malta,Legal
Macedonia,Legal
Portugal,Legal
Spain,Legal
Belgium,Legal
France,Legal
Ireland,Legal
Luxembourg,Legal
Netherlands,Legal
United Kingdom,Legal
Australia,Legal
New Zealand,Legal
